# Start time is 14:53:28
# 
# GATEvoltage, BIASvoltage, Current, Real-LI, Imag-LI
# mV, mV, nA, V, V
# Comments: bias = 0mV; lockin freq = 121.3; lockin V = 499.9mV, tau = 300ms, 1MV/A, sleep time = 2s, 100 kHz bandwidths
# 
-1519.9511711 0.0305180 0.0002724 -0.000000607915937 -0.000000143033446
-1500.1144427 0.0305180 0.0002722 -0.000001076368655 -0.000000503663327
-1479.9725338 0.0305180 0.0002486 -0.000001313283550 0.000000065503494
-1460.1358053 0.0305180 0.0002718 -0.000000799397087 -0.000000199144977
-1439.9938964 0.0305180 0.0002707 -0.000001088857986 -0.000000271068182
-1419.8519875 0.0305180 0.0002637 -0.000001337564967 0.000000134493803
-1400.0152590 0.0305180 0.0002475 -0.000002163075576 -0.000000016962394
-1379.8733501 0.0305180 0.0002490 -0.000001876867119 0.000000073212551
-1360.0366217 0.0305180 0.0002489 -0.000001804269577 -0.000000156978946
-1339.8947127 0.0305180 0.0002261 -0.000004148218418 0.000000129489729
-1320.0579843 0.0305180 0.0002386 -0.000006043611007 0.000000125187601
-1299.9160754 0.0305180 0.0001957 -0.000006006907810 -0.000000414956298
-1280.0793469 0.0305180 0.0002335 -0.000004367193484 -0.000000361807621
-1259.9374380 0.0305180 0.0002087 -0.000004614514785 -0.000000121198557
-1240.1007095 0.0305180 0.0002545 -0.000004830246806 -0.000000584467456
-1219.9588006 0.0305180 0.0002342 -0.000005711940022 -0.000000925892831
-1200.1220722 0.0305180 0.0002087 -0.000006679758636 -0.000000045488962
-1179.9801633 0.0305180 0.0002312 -0.000005087658491 -0.000000052303994
-1160.1434348 0.0305180 0.0002303 -0.000008194481554 -0.000000293584458
-1140.0015259 0.0305180 0.0002073 -0.000005545367634 -0.000000497397515
-1119.8596170 0.0305180 0.0001824 -0.000004412467456 -0.000000161972446
-1100.0228885 0.0305180 0.0002357 -0.000005627563317 0.000000231846795
-1079.8809796 0.0305180 0.0001345 -0.000006745680947 -0.000000218697224
-1060.0442512 0.0305180 0.0001460 -0.000006727267084 -0.000000618616043
-1039.9023423 0.0305180 0.0002365 -0.000008957832746 -0.000000141302374
-1020.0656138 0.0305180 0.0001298 -0.000009172649596 0.000000745701538
